epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,42.7324,0.5816,0.20335,0.13518,0.37238,0.93318,0.99901,1,0.995,0.8349,0.99901,1,0.995,0.97147,0.63592,0.18226,0.00651,0.3162,0.93035,0.0003962,0.0003962,0.0003962
83,43.2254,0.57279,0.20252,0.10905,0.36354,0.91334,0.99905,1,0.995,0.83352,0.99905,1,0.995,0.97284,0.62557,0.17903,0.00675,0.31541,0.92538,0.0003764,0.0003764,0.0003764
84,43.7207,0.57404,0.21338,0.10544,0.35741,0.88345,0.99912,1,0.995,0.84162,0.99912,1,0.995,0.97471,0.59038,0.17663,0.00723,0.3114,0.91313,0.0003566,0.0003566,0.0003566
85,44.2268,0.55554,0.17494,0.09352,0.34629,0.90817,0.99915,1,0.995,0.85125,0.99915,1,0.995,0.97708,0.58013,0.1697,0.00682,0.30758,0.90865,0.0003368,0.0003368,0.0003368
86,44.7254,0.55333,0.17844,0.08569,0.34675,0.90095,0.99915,1,0.995,0.85125,0.99915,1,0.995,0.97708,0.58013,0.1697,0.00682,0.30758,0.90865,0.000317,0.000317,0.000317
87,45.2301,0.55012,0.19356,0.09539,0.34729,0.90282,0.99916,1,0.995,0.84886,0.99916,1,0.995,0.98,0.58267,0.16097,0.00671,0.30553,0.90946,0.0002972,0.0002972,0.0002972
88,45.7328,0.52327,0.16579,0.08907,0.3503,0.89895,0.99915,1,0.995,0.85134,0.99915,1,0.995,0.98283,0.57765,0.15575,0.00657,0.30211,0.90979,0.0002774,0.0002774,0.0002774
89,46.2463,0.53447,0.18229,0.09977,0.33526,0.89713,0.99915,1,0.995,0.84547,0.99915,1,0.995,0.98205,0.56579,0.15517,0.00639,0.30023,0.90821,0.0002576,0.0002576,0.0002576
90,46.7435,0.50519,0.15631,0.11143,0.33151,0.91115,0.99914,1,0.995,0.85166,0.99914,1,0.995,0.98219,0.56017,0.1516,0.00627,0.29906,0.90745,0.0002378,0.0002378,0.0002378
91,47.7751,0.46578,0.1591,0.0048,0.30907,0.87069,0.99914,1,0.995,0.85472,0.99914,1,0.995,0.98279,0.55691,0.14517,0.00586,0.29985,0.90596,0.000218,0.000218,0.000218
92,48.2821,0.48505,0.14804,0.00854,0.31606,0.8914,0.99913,1,0.995,0.85433,0.99913,1,0.995,0.98404,0.5582,0.13871,0.00549,0.30407,0.90762,0.0001982,0.0001982,0.0001982
93,48.8022,0.47917,0.14919,0.00477,0.30334,0.90027,0.99911,1,0.995,0.85869,0.99911,1,0.995,0.98487,0.56177,0.13507,0.00524,0.30315,0.9083,0.0001784,0.0001784,0.0001784
94,49.3109,0.49663,0.13698,0.01266,0.31171,0.89783,0.99911,1,0.995,0.85869,0.99911,1,0.995,0.98487,0.56177,0.13507,0.00524,0.30315,0.9083,0.0001586,0.0001586,0.0001586
95,49.8178,0.49186,0.14777,0.01833,0.30773,0.88632,0.99911,1,0.995,0.84197,0.99911,1,0.995,0.98127,0.57713,0.13355,0.00508,0.30179,0.91095,0.0001388,0.0001388,0.0001388
96,50.3207,0.47508,0.14861,0.01017,0.30895,0.88149,0.99906,1,0.995,0.84348,0.99906,1,0.995,0.97945,0.59214,0.13129,0.00486,0.30372,0.9144,0.000119,0.000119,0.000119
97,50.8079,0.44564,0.1367,0.00476,0.29221,0.90326,0.99899,1,0.995,0.84053,0.99899,1,0.995,0.97932,0.58749,0.12954,0.00455,0.30207,0.91149,9.92e-05,9.92e-05,9.92e-05
98,51.2994,0.45226,0.13811,0.01666,0.29595,0.88774,0.99898,1,0.995,0.85007,0.99898,1,0.995,0.98142,0.57163,0.12806,0.00436,0.29867,0.90655,7.94e-05,7.94e-05,7.94e-05
99,51.7842,0.46288,0.14014,0.01286,0.29856,0.87642,0.99899,1,0.995,0.85042,0.99899,1,0.995,0.9852,0.56179,0.12546,0.00423,0.29687,0.90287,5.96e-05,5.96e-05,5.96e-05
100,52.2816,0.46519,0.13702,0.00932,0.29544,0.8672,0.99894,1,0.995,0.84516,0.99894,1,0.995,0.98512,0.55809,0.12372,0.00416,0.29517,0.9012,3.98e-05,3.98e-05,3.98e-05
